context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
L3,deberta_base_finetune_bs32_fp32,0,5e-05,0.8052846463588068,0.807,0.8069584427003926,0.8069584427003927,"{""2e-05"": 0.8018502389816017, ""5e-05"": 0.8052846463588068, ""8e-05"": 0.8026136353881963}"
L3,deberta_base_finetune_bs32_fp32,1,5e-05,0.8087764392017828,0.8145,0.8144626336141869,0.8144626336141868,"{""2e-05"": 0.8046985193716941, ""5e-05"": 0.8087764392017828, ""8e-05"": 0.801406974919553}"
L3,deberta_base_finetune_bs32_fp32,2,5e-05,0.8066521384517408,0.806,0.8062384492663639,0.806238449266364,"{""2e-05"": 0.8035489812485318, ""5e-05"": 0.8066521384517408, ""8e-05"": 0.8033640450058614}"
L3,deberta_base_finetune_bs32_fp32,3,2e-05,0.8058968134789576,0.8125,0.8119654553706592,0.8119654553706591,"{""2e-05"": 0.8058968134789576, ""5e-05"": 0.8037421251688204, ""8e-05"": 0.8029542222210334}"
L3,deberta_base_finetune_bs32_fp32,4,5e-05,0.8041383667123965,0.825,0.8249756032202497,0.8249756032202494,"{""2e-05"": 0.7985014382025867, ""5e-05"": 0.8041383667123965, ""8e-05"": 0.7975452741350145}"
L3,deberta_base_finetune_bs32_fp32,5,5e-05,0.8068377304780517,0.8055,0.8062479624325075,0.8062479624325077,"{""2e-05"": 0.8052474551069847, ""5e-05"": 0.8068377304780517, ""8e-05"": 0.800589677488628}"
L3,deberta_base_finetune_bs32_fp32,6,2e-05,0.8070617218939796,0.813,0.8117872269870814,0.8117872269870813,"{""2e-05"": 0.8070617218939796, ""5e-05"": 0.8054014682310617, ""8e-05"": 0.8011195874997014}"
L3,deberta_base_finetune_bs32_fp32,7,2e-05,0.8068608946587944,0.8015,0.8004471113864404,0.8004471113864404,"{""2e-05"": 0.8068608946587944, ""5e-05"": 0.805665101427581, ""8e-05"": 0.8066500801834926}"
L3,deberta_base_finetune_bs32_fp32,8,2e-05,0.8033394780172317,0.8285,0.8281391052776854,0.8281391052776854,"{""2e-05"": 0.8033394780172317, ""5e-05"": 0.7993754223753351, ""8e-05"": 0.7983254473584047}"
L3,deberta_base_finetune_bs32_fp32,9,5e-05,0.8044881465842968,0.8035,0.8046016406502418,0.8046016406502416,"{""2e-05"": 0.8029549758100075, ""5e-05"": 0.8044881465842968, ""8e-05"": 0.8008679229731684}"
